단속장소,count,도로명주소,지번주소
서울특별시 강서구 공항동주민센터,466,서울특별시 강서구 송정로 45 (공항동),서울특별시 강서구 공항동 60-28 공항동주민센터
서울특별시 강서구  방화동 271-4,461,"서울특별시 강서구?공항대로59다길?61?(염창동, 염창2차보람아파트)",서울특별시?강서구?염창동?271-4?염창2차보람아파트
서울특별시 강서구 등촌주공1단지상가 ,460,서울특별시 강서구 강서로68길 36 (등촌동),서울특별시 강서구 등촌동 687
서울특별시 강서구 792 ,448,서울특별시 강서구 강서로8길 203 (화곡동),서울특별시 강서구 화곡동 792-9 화친경로당
서울특별시 강서구 정곡초등학교,439,서울특별시 강서구 방화대로50길 22 (방화동),서울특별시 강서구 방화동 836 정곡초등학교
서울특별시 강서구 염창주민센터사거리,432,서울특별시 강서구 양천로67가길 63 (염창동),서울특별시 강서구 염창동 53-1
서울특별시 강서구 676 ,425,서울특별시 강서구 강서로48길 17 (내발산동),서울특별시 강서구 내발산동 676-3
서울특별시 강서구 하늘길111,418,서울특별시 강서구 하늘길 111 (공항동),서울특별시 강서구 공항동 1373 국내선 주차대기실
서울특별시 강서구 마곡동 728-26,403,서울특별시 강서구?공항대로36길?74?(마곡동),서울특별시?강서구?마곡동?728-28 가곡초등학교
서울특별시 강서구 화곡역부천방향정류장,400,서울특별시 강서구 화곡로 168 (화곡동),서울특별시 강서구 화곡동 1089-54
서울특별시 강서구 공항동1373,398,서울특별시 강서구 하늘길 111 (공항동),서울특별시 강서구 공항동 1373 국내선 주차대기실
서울특별시 강서구 화일초등학교,397,서울특별시 강서구 까치산로10길 70 (화곡동),서울특별시 강서구 화곡동 61-184 서울화일초등학교
서울특별시 강서구 케스트원,374,서울특별시 강서구?마곡중앙8로1길?26?(마곡동),서울특별시?강서구?마곡동?790 (주)캐스트윈마곡신사옥
서울특별시 강서구 공항동 김포공항,364,서울특별시 강서구 하늘길 197 (공항동),서울특별시 강서구 공항동 1373-5 김포공항급수시설
서울특별시 강서구 화곡역버스정류장,353,서울특별시 강서구 화곡로 168 (화곡동),서울특별시 강서구 화곡동 1089-54
서울특별시 강서구  마곡동 762-8,351,서울특별시 강서구?마곡중앙14로?15?(마곡동),서울특별시 강서구?마곡동?762-7 이노센터
서울특별시 강서구 벽산늘푸른아파트 삼거리,347,서울특별시 강서구 양천로63길 52 (염창동),서울특별시 강서구 염창동 290
서울특별시 강서구 마곡중앙6로 ,346,서울특별시 강서구 마곡중앙6로 10 (마곡동),서울특별시 강서구 마곡동 773-1 마곡역센트럴푸르지오시티
서울특별시 강서구 방화동 886,338,서울특별시 강서구 하늘길 38 (방화동),서울특별시 강서구 방화동 886
서울특별시 강서구 이수공원 ,337,서울특별시 강서구 공항대로75길 27 (염창동),서울특별시 강서구 염창동 281-3
서울특별시 강서구 이수어린이공원,334,서울특별시 강서구 공항대로75길 27 (염창동),서울특별시 강서구 염창동 281-3
서울특별시 강서구 공항대로46길 경찰서뒷길,324,서울특별시 강서구 공항대로 501 (등촌동),서울특별시 강서구 등촌동 649-10
서울특별시 강서구 원당근린공원,323,서울특별시 강서구 강서로56길 49 (등촌동),서울특별시 강서구 등촌동 690-5
서울특별시 강서구 신정초교후문,317,서울특별시 강서구 곰달래로31가길 27 (화곡동),서울특별시 강서구 화곡동 869-42
서울특별시 강서구 과해동 676,313,서울특별시 강서구 하늘길 70 (과해동),서울특별시 강서구 과해동 676
서울특별시 강서구 엠밸리14단지1401동,308,서울특별시 강서구 마곡중앙로 33 (마곡동),서울특별시 강서구 마곡동 750
서울특별시 강서구  등촌동 709-19,307,"서울특별시 강서구?강서로45라길?65-6?(내발산동, 다울네버빌)",서울특별시?강서구?내발산동?709-19 다울네버빌
서울특별시 강서구 화곡본동시장(큰도로),307,서울특별시 강서구 까치산로 35 (화곡본동),서울특별시 강서구 화곡본동 98-45
서울특별시 강서구 한서고등학교,307,서울특별시 강서구 양천로11길 47 (방화동),서울특별시 강서구 방화동 478-34 한서고등학교
서울특별시 강서구 국회대로7길 ,305,서울특별시 강서구 국회대로7길 6 (화곡동),서울특별시 강서구 화곡동 786-7
서울특별시 강서구 이대병원응듭센터,295,서울특별시 강서구 공항대로 260 (마곡동),서울특별시 강서구 마곡동 808
서울특별시 강서구 등촌동성 105동 입구,294,서울특별시 강서구 강서로68길 108 (등촌동),서울특별시 강서구 등촌동 691-1
서울특별시 강서구 등촌동서광106동,293,서울특별시 강서구 공항대로45길 68-6 (등촌동),서울특별시 강서구 등촌동 638
서울특별시 강서구 무학아파트,289,"서울특별시 강서구 양천로77길 45 (염창동, 무학아파트)",서울특별시 강서구 염창동 255 무학아파트
서울특별시 강서구 762-4 ,279,서울특별시 강서구 마곡중앙로 178 (마곡동),서울특별시 강서구 마곡동 762-4
서울특별시 강서구 화곡역,270,서울특별시 강서구 화곡로 416 (등촌동),서울특별시 강서구 등촌동 628-9 가양역 더스카이밸리5차 지식산업센터
서울특별시 강서구 공항초교 ,267,서울특별시 강서구 마곡서1로 68 (마곡동),서울특별시 강서구 마곡동 743-5 서울공항초등학교
서울특별시 강서구 마곡중앙8로1길 ,263,서울특별시 강서구 마곡중앙8로1길 6 (마곡동),서울특별시 강서구 마곡동 790-8 메이비원
서울특별시 강서구 세민홈프라자빌딩앞,261,서울특별시 강서구?강서로?380?(등촌동),서울특별시?강서구?등촌동 674 세민빌딩
서울특별시 강서구 마곡 삼성아파트 ,261,서울특별시 강서구 방화대로34길 113 (방화동),서울특별시 강서구 방화동 857 마곡삼성아파트
서울특별시 강서구 공항대로 ,256,"서울특별시 강서구 공항대로 583 (염창동, e편한세상)",서울특별시 강서구 염창동 309 e편한세상
서울특별시 강서구 마곡중앙8로5길 ,248,서울특별시 강서구 마곡중앙8로5길 2 (마곡동),서울특별시 강서구 마곡동 792-8 화천종합연구센터
서울특별시 강서구 마곡동로8길 ,247,서울특별시 강서구 마곡동로8길 24 (마곡동),서울특별시 강서구 마곡동 781 크레스라이트부설연구소
서울특별시 강서구 염창동 유상용한의원 ,246,서울특별시 강서구 양천로 690 호서빌딩5층 (염창동),서울특별시 강서구 염창동 264-6
서울특별시 강서구 762-8 ,245,서울특별시 강서구?마곡중앙14로?15?(마곡동),서울특별시?강서구?마곡동?762-7 이노센터
서울특별시 강서구 신정초등학교 ,244,서울특별시 강서구 곰달래로31가길 27 (화곡동),서울특별시 강서구 화곡동 869-42 신정초등학교
서울특별시 강서구 양천로 400-12,242,서울특별시 강서구 양천로 400-12 (가양동),서울특별시 강서구 가양동 54-6 더리브골드타워
서울특별시 강서구 송정초교정문,239,서울특별시 강서구 공항대로3길 18 (공항동),서울특별시 강서구 공항동 22-16
서울특별시 강서구 가양초등학교,237,서울특별시 강서구 허준로 186 (가양동),서울특별시 강서구 가양동 1484 가양초등학교
서울특별시 강서구 화곡푸루지오후문,236,서울특별시 강서구 화곡로13길 107 (화곡동),서울특별시 강서구 화곡동 1091
서울특별시 강서구 수명로 수명산파크5단지상가,230,서울특별시 강서구 수명로 31 (내발산동),서울특별시 강서구 내발산동 754-2 하버드아카데미
서울특별시 강서구 강서로33길 터보빌딩,221,서울특별시 강서구 강서로 173 (화곡동),서울특별시 강서구 화곡동 1065-22
서울특별시 강서구 화곡역인품빌딩,220,서울특별시 강서구 화곡로 168 (화곡동),서울특별시 강서구 화곡동 1089-54
서울특별시 강서구 양천로61길 가양빗물펌프장,218,서울특별시 강서구 양천로67길 93-22 (염창동),서울특별시 강서구 염창동 217-10
서울특별시 강서구 국제선1층 게이트1 ,214,서울특별시 강서구?하늘길?111?(공항동),서울특별시?강서구?공항동 1373?국내선?주차대기실
서울특별시 강서구 명덕고교후문~가곡초,208,서울특별시 강서구?공항대로36길?74?(마곡동),서울특별시?강서구?마곡동?728-28 가곡초등학교
서울특별시 강서구 화일초교 ,207,서울특별시 강서구 까치산로10길 70 (화곡동),서울특별시 강서구 화곡동 61-184 서울화일초등학교
서울특별시 강서구 건와빌딩,202,서울특별시 강서구 마곡동로 56 (마곡동),서울특별시 강서구 마곡동 797-6 건와빌딩
서울특별시 강서구 벽산늘푸른아파트삼거리,200,서울특별시 강서구 양천로63길 52 (염창동),서울특별시 강서구 염창동 290
서울특별시 강서구 양천로60길 41-18,200,"서울특별시 강서구 양천로60길 41-18 (등촌동, 세왕빌라)",서울특별시 강서구 등촌동 637-17 세왕빌라
서울특별시 강서구 629-1 명덕빌딩,195,서울특별시 강서구?양천로?532?(등촌동),서울특별시?강서구?등촌동?629-1
서울특별시 강서구 국내선1층행사주차장,195,서울특별시 강서구 하늘길 38 (방화동),서울특별시?강서구?방화동 886
서울특별시 강서구 785-2 ,194,서울특별시 강서구 국회대로 251 (화곡동),서울특별시 강서구 화곡동 785-2
서울특별시 강서구 수명로 68-35,193,서울특별시 강서구 수명로 68-35 (내발산동),서울특별시 강서구 내발산동 750-10 웨스트엔드중정
서울특별시 강서구 정곡초교정문,182,서울특별시 강서구 방화대로50길 22 (방화동),서울특별시 강서구 방화동 836
서울특별시 강서구  마곡동 756-9,175,서울특별시 강서구?마곡중앙로?201?(마곡동),서울특별시 강서구?마곡동?756?롯데중앙연구소
서울특별시 강서구 강서로74길 가양오토갤러리,173,서울특별시 강서구 강서로74길 58 (가양동),서울특별시 강서구 가양동 110-2 가양오토갤러리
