crosswalk_id,교차로,신호등,주변학교유무,사고건수,car,cctv,safe,smart,demo_weight
06-0000013747,1,0,1,12.0,0.0,0,0,0,361.6943589743589
06-0000045701,0,0,1,9.0,0.0,0,0,0,241.12957264957265
06-0000024642,0,0,1,1.0,0.0,1,0,0,539.6230769230771
06-0000049621,0,0,0,0.0,0.0,0,0,0,361.6943589743589
06-0000034361,0,0,1,22.0,0.073972603,0,0,0,359.748717948718
06-0000049494,1,0,1,9.0,0.068493151,0,0,0,361.6943589743589
06-0000049620,0,0,0,0.0,0.0,0,0,0,361.6943589743589
06-0000045699,0,0,1,4.0,0.0,0,0,0,241.12957264957265
06-0000012147,1,1,1,53.0,0.0,0,5,0,359.748717948718
06-0000039992,1,1,1,9.0,0.0,1,3,0,1053.3682051282049
06-0000013182,1,0,1,13.0,0.634246575,0,0,0,1404.4909401709406
06-0000045698,0,0,1,7.0,0.36027397299999997,0,0,0,241.12957264957265
06-0000049495,0,0,1,0.0,5.320547945,0,0,0,361.6943589743589
06-0000049548,0,0,0,0.0,0.0,0,0,0,482.2591452991453
06-0000049618,0,0,0,0.0,0.0,0,0,0,361.6943589743589
06-0000013537,1,0,1,16.0,0.083561644,0,0,0,1404.4909401709406
06-0000041364,1,1,1,44.0,0.0,0,4,0,359.748717948718
06-0000011840,1,1,1,9.0,0.0,1,34,0,1053.3682051282049
06-0000012638,1,1,1,0.0,0.130136986,1,2,0,719.4974358974359
06-0000012143,1,1,1,42.0,0.0,0,7,0,359.748717948718
06-0000049672,1,0,1,10.0,0.0,0,0,0,241.12957264957265
06-0000012146,1,1,1,44.0,0.0,0,8,0,359.748717948718
06-0000012148,1,1,1,56.0,0.036986301,0,2,0,359.748717948718
06-0000049673,1,0,1,13.0,0.0,0,0,0,241.12957264957265
06-0000012107,1,1,1,9.0,0.117808219,0,8,0,351.12273504273514
06-0000028083,0,0,1,6.0,0.252054795,1,0,0,1404.4909401709406
06-0000038498,0,0,1,18.0,0.073972603,0,0,0,359.748717948718
06-0000012111,1,1,1,10.0,0.117808219,0,17,0,351.12273504273514
06-0000028084,0,0,1,3.0,0.252054795,1,0,0,1404.4909401709406
06-0000049670,1,0,1,14.0,0.0,0,0,0,241.12957264957265
06-0000049585,1,0,0,1.0,0.0,0,0,0,482.2591452991453
06-0000028085,0,0,1,5.0,0.252054795,1,0,0,1404.4909401709406
06-0000052144,0,0,1,16.0,0.36027397299999997,0,0,0,241.12957264957265
06-0000012121,1,0,1,46.0,0.36027397299999997,0,0,0,359.748717948718
06-0000049586,1,0,0,1.0,0.0,0,0,0,482.2591452991453
06-0000012109,1,1,1,11.0,0.117808219,0,6,0,351.12273504273514
06-0000051727,0,0,0,0.0,0.0,0,0,0,482.2591452991453
06-0000013536,1,0,1,12.0,0.083561644,0,0,0,1404.4909401709406
06-0000027247,0,0,0,0.0,0.0,1,0,0,719.4974358974359
