시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,도로명주소,도로명상세주소,수정일
B10,서울특별시교육청,강서구,교습소,3000029627,다오른수학교습소,20170807,20170807,개원,,,72,6,입시.검정 및 보습,보통교과,수학중등단과1,보습,수학중등단과1:300000/ 수학중등단과2:100000/ 수학중등단과3:150000/ 수학고등단과1:350000/ 수학고등단과2:400000/ 수학고등단과3:100000/ 수학고등단과4:150000/ 수학고등단과5:200000/ 중등단과4:320000/ 고등단과6:370000/ 고등단과7:120000/ 고등단과8:240000,Y,N,07632,서울특별시 강서구 강서로 311,/ 3층 일부 (내발산동),20230226
B10,서울특별시교육청,강서구,교습소,3000028408,달빛미술교습소,20170227,20170227,개원,,,12,6,예능(대),예능(중),,미술,초등미술1:101000/ 초등미술2:71000/ 초등저학년미술:129000/ 초등고학년미술:57000/ 초등고학년미술:86000/ 초등고학년미술:129000,Y,N,07510,서울특별시 강서구 금낭화로23길 25,/ 상가동 104호 (방화동/ 방화6단지도시개발아파트),20230226
B10,서울특별시교육청,강서구,교습소,3000041650,달아트스튜디오미술교습소,20220615,20220615,개원,,,27,9,예능(대),예능(중),미술1,미술,미술1:100000/ 미술2:160000/ 미술3:120000,Y,N,07586,서울특별시 강서구 공항대로41길 65,/ 2층201-1호 (등촌동/ 그랜드종합상가),20230226
B10,서울특별시교육청,강서구,교습소,3000023926,담마잉글리쉬영어교습소,20150807,20150807,개원,,,25,5,입시.검정 및 보습,보통교과,초등A,보습,초등A:180000/ 초등B:210000/ 중등A:260000/ 중등B:300000/ 고등:350000,Y,N,07510,서울특별시 강서구 금낭화로 145,/ 에어뷰 21-1오피스텔 219호 (방화동),20230226
B10,서울특별시교육청,강서구,교습소,3000026325,대치3프로수학교습소,20160608,20160608,개원,,,15,6,입시.검정 및 보습,보통교과,초1~초2,보습,초1~초2:160000/ 초3~초6:180000/ 중1~중3:200000,Y,N,07745,서울특별시 강서구 곰달래로33길 62,/ 1층일부 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000041068,대치국어논술교습소,20220317,20220317,개원,,,16,4,입시.검정 및 보습,보통교과,,보습·논술,,Y,N,07681,서울특별시 강서구 우장산로2길 15,/ 2층 일부 (내발산동),20230226
B10,서울특별시교육청,강서구,교습소,3000042031,더뉴영어교습소,20220805,20220805,개원,,,12,4,입시.검정 및 보습,보통교과,,보습,,Y,N,07587,서울특별시 강서구 공항대로41길 66,/ 3층309호 (등촌동/ 세신등촌종합상가),20230226
B10,서울특별시교육청,강서구,교습소,3000037531,더래빗수학교습소,20200916,20200916,개원,,,18,6,입시.검정 및 보습,보통교과,,보습,,Y,N,07587,서울특별시 강서구 공항대로41길 66,/ 204호 (등촌동/ 세신등촌종합상가),20230226
B10,서울특별시교육청,강서구,교습소,3000013440,더브레인수학교습소,20120229,20120229,개원,,,24,4,입시.검정 및 보습,보통교과,초등(1~3)주5회,보습,,Y,N,157904,서울특별시 강서구 곰달래로35길 17,/ 1층 1호 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000037985,더브레인영어교습소,20201203,20201203,개원,,,15,5,입시.검정 및 보습,보통교과,초등영어(파닉스),보습,초등영어(파닉스):180000/ 초등영어(리딩):200000/ 중등영어:250000,Y,N,07808,서울특별시 강서구 공항대로 124,/ 마곡엠밸리11단지업무시설동 1105-104호 (마곡동/ 마곡엠밸리11단지),20230226
B10,서울특별시교육청,강서구,교습소,3000036291,더오름수학교습소,20200211,20200211,개원,,,59,7,입시.검정 및 보습,보통교과,초등수학,보습,초등수학:180000/ 초등수학:200000/ 중등수학:120000/ 중등수학:230000/ 중등수학:250000/ 중등수학:270000/ 중등수학:290000/ 고등수학:360000/ 고등수학:380000,Y,N,07807,서울특별시 강서구 마곡중앙로 59-21,/ 322호 (마곡동/ 에이스타워2),20230226
B10,서울특별시교육청,강서구,교습소,24207,더조은음악교습소,20090605,20090605,개원,,,25,9,예능(대),예능(중),피아노1,음악,피아노1:100000/ 피아노2:110000/ 피아노3:120000/ 플루트:80000/ 바이올린:80000,Y,N,157892,서울특별시 강서구 곰달래로31길 24,1층 일부 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000011322,더프리머스영어교습소,20110613,20110613,개원,,,6,6,입시.검정 및 보습,보통교과,초등영어,보습,초등영어:150000/ 중등영어:170000/ 고등영어:220000,Y,N,07656,서울특별시 강서구 까치산로26길 7,/ 3층 일부 (화곡동/ 미래빌딩),20230226
B10,서울특별시교육청,강서구,교습소,19105,더피아니스트음악교습소,20071217,20071217,개원,,,22,7,예능(대),예능(중),플룻(초급),음악,,Y,Y,157933,서울특별시 강서구 수명로1길 110,택지개발지구 마곡수명산파크 3단지상가 204호 (내발산동),20230226
B10,서울특별시교육청,강서구,교습소,3000032217,도담수학교습소,20180717,20180717,개원,,,108,9,입시.검정 및 보습,보통교과,,보습,초등수학1:220000/ 초등수학2:270000/ 중등수학1:270000/ 중등수학2:300000/ 중등수학3:330000/ 중등심화:400000/ 중등단과:150000/ 고등수학1:400000/ 고등수학2:430000/ 고등수학3:450000/ 고등심화:500000/ 고등단과:170000/ 고등단과A:75000/ 고등단과B:150000,Y,N,07580,서울특별시 강서구 강서로56나길 110,/ 부영아파트상가동 3층304호 (등촌동/ 부영아파트),20230226
B10,서울특별시교육청,강서구,교습소,25972,도레미피아노교습소,20091016,20091016,개원,,,20,5,예능(대),예능(중),바이엘,음악,,Y,N,157717,서울특별시 강서구 양천로67길 32,신동아아파트 상가동 204호 (염창동),20230312
B10,서울특별시교육청,강서구,교습소,21438,도이치뮤지크음악교습소,20080731,20080731,개원,,,10,9,예능(대),예능(중),피아노초급,음악,,Y,N,157849,서울특별시 강서구 양천로 23,2층 일부 (방화동),20230226
B10,서울특별시교육청,강서구,교습소,2000007464,동아미술교습소,19980925,19980925,개원,,,27,9,예능(대),예능(중),미술초급,미술,미술초급:120000/ 미술중급:160000/ 미술고급:180000,Y,N,157865,서울특별시 강서구 양천로69길 58,염창동 동부A상가 306호 (염창동),20230226
B10,서울특별시교육청,강서구,교습소,3000031390,동화그리는아이미술교습소,20180321,20180321,개원,,,6,3,예능(대),예능(중),미술1,미술,,Y,N,07651,서울특별시 강서구 강서로 348,/ 상가2동 107호 (내발산동/ 우장산힐스테이트),20230226
B10,서울특별시교육청,강서구,교습소,31126,동화숲배움나무논술교습소,20110124,20110124,개원,,,10,5,입시.검정 및 보습,보통교과,,입시·논술,,Y,N,07652,서울특별시 강서구 강서로50길 72,/ 상가 101동 306호 (내발산동/ 신세계아파트3차),20230226
B10,서울특별시교육청,강서구,교습소,3000024402,두빛나래수학교습소,20151023,20151023,개원,,,36,9,입시.검정 및 보습,보통교과,초등수학3,보습,초등수학3:135000/ 초등수학4~6:170000/ 중등수학1~2:200000/ 중등수학3:200000,Y,N,07738,서울특별시 강서구 곰달래로49길 76,/ 칭찬근린상가2/ 3층 (화곡동),20230226
B10,서울특별시교육청,강서구,교습소,3000025061,드로잉아지트미술교습소,20160104,20160104,개원,,,4,4,예능(대),예능(중),,미술,,Y,N,07509,서울특별시 강서구 금낭화로23길 8,/ 203호 (방화동),20230226
B10,서울특별시교육청,강서구,교습소,3000042480,드림위드피아노교습소,20221108,20221024,개원,,,8,4,예능(대),예능(중),피아노입시A,음악,피아노입시A:180000/ 피아노입시B:230000,Y,N,07587,서울특별시 강서구 공항대로41길 66,/ 4층402호 (등촌동/ 세신등촌종합상가),20230226
B10,서울특별시교육청,강서구,교습소,3000042655,등촌리드앤톡영어교습소,20221118,20221118,개원,,,28,7,입시.검정 및 보습,보통교과,,보습,,Y,N,07587,서울특별시 강서구 공항대로41길 50,/ 506호 (등촌동/ 보고시티프라자),20230226
B10,서울특별시교육청,강서구,교습소,3000019426,등촌바하음악교습소,20140303,20140303,개원,,,15,9,예능(대),예능(중),피아노초급,음악,,Y,N,157930,서울특별시 강서구 공항대로41길 51,/ 706호 (등촌동),20230226
B10,서울특별시교육청,강서구,교습소,3000029364,등촌브레이닝(BRAINING)수학교습소,20170619,20170619,개원,,,30,9,입시.검정 및 보습,보통교과,초등수학(M),보습,초등수학(M):94000/ 초등수학(A):142000/ 초등수학(T):213000/ 초등수학(H):284000/ 중등수학:308000,Y,N,07586,서울특별시 강서구 공항대로41길 51,/ 412호 (등촌동),20230226
B10,서울특별시교육청,강서구,교습소,20483,등촌소리엘음악교습소,20080501,20080501,개원,,,25,5,예능(대),예능(중),,음악,피아노기초1(바이엘):120000/ 피아노기초2(체르니100):130000/ 피아노중급(체르니30번):140000/ 피아노입시1(체르니44번):150000/ 피아노입시2(체르니50번):170000/ 성악:100000/ 피아노일반5:140000,Y,N,157836,서울특별시 강서구 등촌로39길 46,1층 일부 (등촌동),20230226
