crosswalk_id,gu_code,dong_code,roadname,change_id,crossroad_code,X_cord,Y_cord,lon,lat
06-0000012938,500.0,11000.0,164-27잡,70780,,182770.608313631,554759.193101323,126.80491333846722,37.59223685908803
06-0000024272,500.0,10900.0,산169임,57386,,182776.877107585,552586.5421741579,126.80503537427576,37.57266164611345
06-0000015755,500.0,10900.0,650-13잡,93254,,182778.991867405,552021.313683567,126.80507258570715,37.567569032492216
06-0000015755,500.0,10900.0,651-1도,13438,,182779.182906918,552019.594327946,126.80507478847136,37.567553544830645
06-0000015755,500.0,10900.0,651-1도,94883,,182779.87223986894,552021.49158013,126.80508254655798,37.56757065177633
06-0000015755,500.0,10900.0,851대,93003,2876.0,182779.937918938,552020.249962148,126.80508331913641,37.56755946614288
06-0000024272,500.0,10900.0,500-15도,21651,,182781.376727635,552587.80937393,126.80508627965477,37.57267314756202
06-0000050952,500.0,10900.0,산169임,156282,,182783.09546869,552589.054094494,126.80510570636595,37.572684394488505
06-0000014047,500.0,10900.0,638잡,11966,,182794.640085189,551703.4243719621,126.80525716589442,37.56470517138436
06-0000013963,500.0,10900.0,651-1도,11918,,182807.51407670105,552026.25694501,126.80539531569221,37.567614103422066
06-0000013963,500.0,10900.0,851대,65911,2876.0,182807.897126583,552029.206882261,126.80539958233109,37.567640689225456
06-0000024273,500.0,10900.0,526-1도,21652,,182811.77565308398,552567.0940230871,126.8054308773058,37.57248707201006
06-0000024273,500.0,10900.0,526-1도,76775,,182811.77565308398,552567.0940230871,126.8054308773058,37.57248707201006
06-0000024273,500.0,10900.0,산169임,93570,,182812.997907377,552567.541930925,126.80544470254101,37.57249113041657
06-0000024273,500.0,10900.0,526-1도,87996,,182813.144394136,552567.5502701029,126.80544636055357,37.57249120828447
06-0000013042,500.0,10900.0,771-2구,76776,,182814.169889688,552586.545178388,126.80545752382969,37.572662369604174
06-0000013042,500.0,10900.0,771-2구,14712,,182814.169889688,552586.545178388,126.80545752382969,37.572662369604174
06-0000013964,500.0,10900.0,648-7도,11919,,182815.95762948896,552043.335548396,126.80549048907491,37.567768137529185
06-0000013042,500.0,10900.0,산169임,93567,,182816.445042003,552587.071851064,126.8054832659276,37.57266715730969
06-0000013042,500.0,10900.0,500-3대,87997,,182816.49133752895,552586.646807728,126.80548379994755,37.572663328576056
06-0000013964,500.0,10900.0,852대,93004,2876.0,182816.64542445895,552044.936778748,126.80549823680526,37.567782577289854
06-0000015756,500.0,10900.0,638잡,11922,,182822.110285324,551702.949659019,126.80556810316445,37.564701406725185
06-0000031628,500.0,10900.0,849-1도,60847,,182832.489438277,552509.414089092,126.80566670458265,37.571967767859284
06-0000020801,500.0,10900.0,641-1도,13471,,182833.56512438305,551954.444381571,126.80569187110905,37.56696756464247
06-0000020801,500.0,10900.0,852대,93324,,182835.232575583,551955.073482658,126.80571073028946,37.56697326384674
06-0000027388,500.0,10900.0,산169임,23411,,182838.328573653,552587.284365565,126.80573097981548,37.57266947995026
