NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,on_bus,off_bus
110000181,11281,월계현대아파트,127.0632897,37.61948435,64.70243902439024,40.702439024390245
110000182,11282,물류센터,127.0642662,37.6168851,61.83536585365854,25.24390243902439
110000183,11283,석계역1번출구.A,127.065197,37.61493,261.9942611190818,203.92826398852225
110000184,11284,석계역2번출구,127.0669732,37.61527426,20.256880733944953,98.07492354740062
110000185,11285,광운대학교,127.0587976,37.6203373,169.10569105691056,133.89430894308944
110000186,11286,월계삼거리,127.060007,37.6226678,133.27642276422765,149.52845528455285
110000191,11291,청백아파트1단지,127.052187,37.635412,174.53658536585365,55.951219512195124
110000192,11292,대우아파트,127.0521635,37.63310967,102.35772357723577,1.1544715447154472
110000193,11293,청백아파트3단지4단지,127.0508507,37.63195776,266.6219512195122,1.646341463414634
110000194,11294,청백아파트3단지4단지,127.0510635,37.63162877,2.6463414634146343,282.4268292682927
110000195,11295,초안아파트.흥화브라운빌아파트,127.044413,37.63209337,126.6829268292683,79.3780487804878
110000196,11296,초안아파트.흥화브라운빌아파트,127.0439521,37.63244441,119.58536585365853,97.26829268292683
110000197,11297,쌍용스윗닷홈아파트,127.045186,37.63066701,20.817073170731707,38.5609756097561
110000198,11298,신창중학교후문,127.0470969,37.62812071,35.048780487804876,17.70731707317073
110000199,11299,신창중학교후문,127.0474874,37.62764297,22.4390243902439,43.69512195121951
110000200,11300,염광고등학교,127.0503112,37.62754013,155.3170731707317,73.57317073170732
110000201,11301,염광고등학교,127.0501655,37.62742634,100.17073170731707,119.39024390243902
110000202,11302,월계주공1단지상가,127.0513625,37.62654023,131.7987804878049,67.60365853658537
110000203,11303,월계공단,127.0518547,37.62713016,71.25,87.8719512195122
110000204,11304,월계종합사회복지관,127.0524877,37.62754865,1.2804878048780488,75.51219512195122
110000205,11305,월계종합사회복지관,127.0526761,37.62736324,55.53658536585366,16.634146341463413
110000206,11306,월계주공2단지,127.0538076,37.62835008,53.23170731707317,145.0548780487805
110000207,11307,월계주공1단지,127.0540294,37.62815017,138.25,40.15853658536585
110000208,11308,인덕대학교,127.0553065,37.62839287,37.3739837398374,39.78861788617886
110000209,11309,인덕대학교,127.0555468,37.62860632,21.902439024390244,137.6178861788618
110000210,11310,월계주공108동앞롯데캐슬루나아파트,127.0525926,37.62618916,123.68776371308017,65.9789029535865
110000211,11311,인덕대학,127.0552744,37.6279838,96.45575221238938,103.07522123893806
110000212,11312,한진한화그랑빌아파트,127.0692324,37.61580549,16.558823529411764,43.16013071895425
110000213,11313,한진한화그랑빌아파트,127.0698589,37.61825517,23.8739837398374,7.678861788617886
110000214,11314,한천초등학교,127.0697784,37.61941041,29.483739837398375,10.715447154471544
110000215,11315,한천초등학교,127.0699692,37.61998609,17.573170731707318,37.739837398373986
110000216,11317,월계미성아파트,127.0694508,37.62161826,10.471544715447154,40.8130081300813
110000217,11318,월계미륭아파트,127.0683895,37.62310657,51.73658536585366,16.40487804878049
110000218,11319,월계미륭아파트,127.0686266,37.62338397,16.58130081300813,36.32113821138211
110000219,11320,월계삼호아파트,127.0672914,37.62517519,41.31707317073171,7.912195121951219
110000220,11321,월계삼호아파트,127.0675294,37.62532103,7.487804878048781,35.639024390243904
110000221,11322,월계삼호4차아파트,127.0658231,37.62646547,49.292682926829265,8.185365853658537
110000222,11323,월계삼호4차아파트,127.0659819,37.62666271,7.360975609756098,30.53170731707317
110000223,11324,녹천초등학교월계이마트,127.0639928,37.62837857,6.902439024390244,89.36585365853658
110000224,11325,녹천초등학교월계이마트,127.0649064,37.62755178,38.19512195121951,7.097560975609756
110000225,11326,월계사슴아파트2단지,127.0605823,37.63210184,31.28780487804878,69.72682926829269
110000226,11327,월계사슴아파트3단지,127.060419,37.63198028,63.548780487804876,15.621951219512194
110000227,11328,월계역,127.0592762,37.6339281,61.5219512195122,74.49268292682927
110000228,11329,월계역,127.0590506,37.63373538,104.79268292682927,55.41463414634146
110000229,11330,대우아파트,127.0523148,37.63389355,0.14634146341463414,37.203252032520325
110000230,11331,인덕삼거리,127.0574013,37.62841891,58.239837398373986,74.3780487804878
110000231,11332,신도브래뉴.한전노원변전소,127.0590994,37.62814774,15.156794425087108,16.961672473867594
110000232,11333,광운중.광운인공지능고등학교,127.0563054,37.61895535,40.65243902439025,33.573170731707314
110000233,11334,광운중.광운인공지능고등학교,127.0566282,37.61884346,23.585365853658537,46.77560975609756
110000234,11335,광운대학교,127.0581458,37.61984293,79.25,105.5060975609756
110000235,11336,월계삼거리,127.0598826,37.6228652,137.6768292682927,136.3048780487805
110000236,11337,롯데캐슬루나아파트,127.0514363,37.62515523,71.02867383512545,67.13978494623656
110000237,11338,인덕대앞,127.0575128,37.6290379,139.39782016348775,73.88828337874659
110000238,11339,월계보건지소,127.061724,37.63204797,61.0677570093458,74.58177570093459
110000239,11340,월계보건지소,127.0616865,37.63158315,93.80798004987531,63.30673316708229
110000240,11341,교육촌.벼루말,127.0527861,37.6220972,7.512195121951219,90.85365853658537
110000242,11343,장석교회,127.0507071,37.62406614,0.07317073170731707,15.146341463414634
110000243,11344,쌍용스윗닷홈아파트,127.0450262,37.6306058,42.890243902439025,39.96341463414634
110000244,11345,인덕삼거리,127.0571623,37.62869931,10.036585365853659,42.30487804878049
