횡단보도ID,교차로,신호등,학교위치,불법주정차수,무인단속카메라,표지판,스마트횡단보도,지하철승하차,버스승하차,카페수,위험지수,사고건수,학원수
06-0000012165,0,0,0,0.268493151,0,0,0,361.694359,3.055284553,4,0,2,1
06-0000022105,0,0,1,0.315068493,0,0,0,482.2591453,3.460813008,5,1,5,0
06-0000013528,1,1,1,1.953424658,0,2,0,1755.613675,11.35030303,4,2,35,1
06-0000028539,1,1,1,0,0,6,0,1053.368205,4.86504065,0,1,3,0
06-0000012167,1,0,1,0.206849315,0,0,0,482.2591453,3.055284553,1,1,5,0
06-0000011417,1,1,1,0,0,9,0,359.748718,7.952845529,1,0,1,5
06-0000026033,0,0,1,0,1,0,0,482.2591453,2.776097561,2,0,0,0
06-0000013430,1,0,1,0.280821918,0,0,0,602.8239316,4.32601626,8,2,10,0
06-0000052145,1,0,1,0.280821918,0,0,0,602.8239316,4.32601626,8,2,10,0
06-0000024635,1,1,1,0,0,6,0,359.748718,7.952845529,1,0,1,4
06-0000013530,1,1,1,1.953424658,0,3,0,1755.613675,11.35030303,4,2,39,0
06-0000013445,1,1,1,0.145205479,0,16,0,482.2591453,3.055284553,1,1,5,0
06-0000026036,0,0,1,0.035616438,1,0,0,602.8239316,2.776097561,5,0,1,0
06-0000024634,1,1,1,0,0,3,0,359.748718,7.952845529,0,0,1,4
06-0000026038,0,0,1,0.035616438,1,0,0,602.8239316,2.776097561,5,0,2,0
06-0000046649,1,1,1,0.17260274,1,5,0,602.8239316,5.363902439,11,2,9,0
06-0000052688,0,0,0,0.076712329,1,0,0,602.8239316,2.776097561,4,1,3,0
06-0000013442,1,1,1,0.145205479,0,23,0,482.2591453,3.055284553,1,1,3,0
06-0000013527,1,1,1,1.378082192,0,9,0,1755.613675,11.35030303,4,2,41,1
06-0000013432,0,0,1,0.487671233,0,0,0,602.8239316,4.32601626,5,0,2,0
06-0000026037,0,0,1,0.035616438,1,0,0,602.8239316,2.776097561,5,0,2,0
06-0000026039,0,0,0,0.076712329,1,0,0,602.8239316,2.776097561,4,0,2,0
06-0000013444,1,1,1,0.145205479,0,18,0,482.2591453,3.055284553,1,1,3,0
06-0000026043,0,0,0,0.076712329,1,0,0,602.8239316,2.776097561,4,0,2,0
06-0000052710,1,1,1,0.280821918,1,1,0,602.8239316,4.32601626,8,2,9,0
06-0000013443,1,1,1,0.145205479,0,16,0,482.2591453,3.055284553,1,1,3,0
06-0000013438,1,1,1,0.17260274,1,6,0,602.8239316,6.704878049,11,2,8,0
06-0000026045,0,0,1,0.076712329,1,0,0,602.8239316,5.901626016,3,1,4,0
06-0000026035,0,0,1,0,1,0,0,602.8239316,2.776097561,2,0,0,0
06-0000012117,0,0,0,0.093150685,0,0,0,702.2454701,8.917073171,1,1,3,0
06-0000013699,0,0,1,1.378082192,0,0,0,1755.613675,11.35030303,3,2,16,1
06-0000026048,0,0,1,0.04109589,1,0,0,602.8239316,5.901626016,2,1,6,0
06-0000035043,1,0,1,0.120547945,1,0,0,361.694359,2.589918699,9,2,12,0
06-0000028540,1,1,1,0,0,1,0,1053.368205,6.081300813,0,0,2,0
06-0000026047,0,0,1,0.076712329,1,0,0,602.8239316,5.901626016,3,1,4,0
06-0000030273,1,1,1,0.04109589,1,14,0,602.8239316,5.836260163,0,2,29,0
06-0000040777,0,0,0,0.050684932,0,0,0,1404.49094,2.254308943,0,0,0,0
06-0000013437,1,1,1,0.280821918,1,12,0,602.8239316,4.32601626,9,2,11,0
06-0000013694,0,0,1,1.668493151,0,0,0,1755.613675,9.710716925,2,2,24,2
06-0000013780,1,0,1,0.065753425,1,0,0,602.8239316,5.836260163,1,2,21,0
06-0000013464,1,1,1,0.106849315,1,17,0,602.8239316,5.836260163,1,2,34,0
06-0000003610,1,0,1,2.626027397,1,0,0,361.694359,2.589918699,9,2,12,0
06-0000015741,0,0,1,1.34109589,0,0,0,1755.613675,11.35030303,4,2,14,1
06-0000012123,1,1,1,0.084931507,0,2,0,713.1148718,7.047926829,1,2,10,0
06-0000003609,1,0,1,2.626027397,1,0,0,361.694359,2.589918699,9,1,4,0
06-0000035039,1,0,1,0,1,0,0,361.694359,2.589918699,7,0,1,0
06-0000052146,0,0,1,0.065753425,1,0,0,602.8239316,5.363902439,9,1,6,0
06-0000013783,1,1,1,0.065753425,1,36,0,602.8239316,5.836260163,1,2,28,1
06-0000052820,0,0,1,0.260273973,0,0,0,482.2591453,1.95499187,0,0,1,0
06-0000013690,1,1,1,0.32739726,1,15,0,1755.613675,7.76857354,0,2,16,1
06-0000013779,0,0,1,0.065753425,1,0,0,602.8239316,5.363902439,2,2,11,0
06-0000015730,1,1,1,0.106849315,1,15,0,602.8239316,7.295325203,1,2,29,1
06-0000035044,1,1,1,2.626027397,1,4,0,241.1295727,3.237398374,9,1,3,0
06-0000013693,1,0,1,1.668493151,0,0,0,1755.613675,9.710716925,1,2,26,1
06-0000013692,1,1,1,1.668493151,1,3,0,1755.613675,7.76857354,0,2,24,1
06-0000003608,1,0,1,0,1,0,0,361.694359,2.589918699,7,0,1,0
06-0000013436,1,0,1,0.280821918,1,0,0,602.8239316,3.460813008,8,2,10,1
06-0000035042,1,1,1,0,1,6,0,361.694359,2.589918699,7,0,1,0
06-0000034390,0,0,1,0.082191781,1,0,0,602.8239316,3.470121951,4,0,1,0
06-0000035040,1,0,1,0,1,0,0,361.694359,2.589918699,7,0,1,0
06-0000013431,0,0,1,0.54109589,0,0,0,602.8239316,3.460813008,3,0,1,0
06-0000013781,1,1,1,0.106849315,1,35,0,602.8239316,5.836260163,1,2,26,1
06-0000013466,0,0,1,0.082191781,1,0,0,602.8239316,3.470121951,5,1,4,0
06-0000013691,1,1,1,0.32739726,1,52,0,1755.613675,7.76857354,0,2,22,1
06-0000013689,1,1,1,0.32739726,1,3,0,1755.613675,7.76857354,0,2,16,1
06-0000012639,0,1,1,0.061643836,1,4,0,1053.368205,6.081300813,1,1,3,0
06-0000013682,0,0,1,0.046575342,1,0,0,1404.49094,3.893333333,0,1,5,0
06-0000034389,0,0,1,0.123287671,1,0,0,602.8239316,7.295325203,2,1,5,0
06-0000035041,1,1,1,0,1,2,0,361.694359,1.942439024,0,0,0,1
06-0000013468,1,1,1,0,1,28,0,602.8239316,2.776097561,2,0,2,0
06-0000012183,1,1,1,0,1,20,0,361.694359,3.313658537,0,0,0,1
06-0000013435,1,1,1,0.280821918,1,4,0,602.8239316,3.460813008,7,1,6,1
06-0000029537,1,1,1,2.269863014,0,15,0,359.748718,7.656097561,3,2,9,0
06-0000015729,1,1,1,0.035616438,1,7,0,602.8239316,2.776097561,2,1,5,0
06-0000015728,1,1,1,0.280821918,1,2,0,602.8239316,3.460813008,7,2,7,1
06-0000013688,0,0,1,0.130136986,1,0,0,1404.49094,5.826430155,1,1,4,0
06-0000013683,0,0,1,0.046575342,1,0,0,1404.49094,3.893333333,1,2,7,0
06-0000013433,1,1,1,0.280821918,1,8,0,602.8239316,3.460813008,7,1,6,1
06-0000024633,1,1,1,2.269863014,0,2,0,359.748718,7.656097561,3,2,8,0
06-0000013452,1,0,1,0,1,0,0,602.8239316,2.776097561,2,0,2,0
06-0000013469,1,0,1,0,1,0,0,482.2591453,2.082073171,0,0,2,0
06-0000013434,1,1,1,0.280821918,1,2,0,602.8239316,3.460813008,7,2,7,1
06-0000013696,0,0,1,1.524657534,0,0,0,1755.613675,12.30772358,2,2,16,0
06-0000013697,0,0,0,0,0,0,0,1755.613675,3.000325203,3,1,5,0
06-0000024632,1,1,1,0.035616438,0,12,0,359.748718,7.656097561,0,2,8,0
06-0000011416,1,1,1,0.035616438,0,21,0,359.748718,7.656097561,0,2,8,0
06-0000015740,0,0,1,0.046575342,1,0,0,1404.49094,3.893333333,0,2,10,0
06-0000013451,1,1,1,0,1,15,0,602.8239316,2.776097561,2,0,2,0
06-0000013470,0,0,1,0,1,0,0,482.2591453,2.082073171,0,1,4,0
06-0000047931,1,0,0,0,0,0,0,241.1295727,5.914535519,2,2,8,0
06-0000012180,1,0,1,0,1,0,0,361.694359,4.418211382,0,1,5,0
06-0000013218,1,0,0,0,0,0,0,241.1295727,5.914535519,1,2,10,0
06-0000012182,1,0,1,0,1,0,0,361.694359,4.418211382,0,1,5,0
06-0000012114,1,1,1,0.235616438,0,11,0,1069.672308,9.722439024,1,1,6,0
06-0000038978,0,0,1,0.053424658,0,0,0,1755.613675,12.30772358,2,2,11,0
06-0000013698,0,0,0,0,0,0,0,1755.613675,3.000325203,3,1,6,0
06-0000013441,1,1,1,0,0,50,0,482.2591453,4.978861789,0,1,6,0
06-0000012181,1,0,1,0,1,0,0,361.694359,4.418211382,0,1,5,0
06-0000012113,1,1,1,0.235616438,0,2,0,1069.672308,12.15304878,1,1,5,0
06-0000037224,1,1,1,0.235616438,0,20,0,1069.672308,12.15304878,1,1,6,0
06-0000013695,0,0,1,0.053424658,0,0,0,1404.49094,12.30772358,2,2,9,0
06-0000012178,1,1,1,0,0,58,0,482.2591453,4.418211382,0,2,7,0
06-0000013687,0,0,1,0.04109589,1,0,0,1404.49094,5.826430155,1,1,4,0
06-0000012124,1,1,1,0,0,10,0,1069.672308,3.581829268,1,2,8,0
06-0000013684,1,0,1,0.087671233,1,0,0,1404.49094,3.893333333,1,2,15,0
06-0000025502,0,0,0,1.520547945,0,0,0,179.874359,4.593658537,1,0,2,2
06-0000013440,1,1,1,0,0,18,0,482.2591453,4.978861789,0,1,3,0
06-0000012637,0,0,0,0.061643836,0,0,0,1053.368205,4.86504065,0,0,0,0
06-0000013685,1,1,1,0.04109589,1,9,0,1404.49094,2.92,1,2,10,0
06-0000012179,1,1,1,0,0,34,0,482.2591453,4.978861789,0,1,5,0
06-0000025503,0,0,0,1.520547945,0,0,0,179.874359,4.593658537,1,0,2,2
06-0000041606,0,0,1,0.061643836,1,0,0,1053.368205,4.508617886,1,0,1,0
06-0000025501,0,0,0,1.520547945,0,0,0,179.874359,4.593658537,1,0,2,2
06-0000050016,1,0,1,0.045205479,0,0,0,1069.672308,3.581829268,1,2,8,0
06-0000052818,0,0,1,2.547945205,1,0,0,241.1295727,1.977235772,2,0,2,0
06-0000048420,0,0,1,0,0,0,0,1404.49094,10.62962963,2,2,14,0
06-0000013686,1,0,1,0.04109589,1,0,0,1404.49094,2.92,1,2,8,0
06-0000050950,0,0,1,0.035616438,0,0,0,179.874359,6.124878049,0,0,1,2
06-0000025500,0,0,0,0,0,0,0,241.1295727,5.914535519,2,0,0,1
06-0000050951,0,0,0,0.035616438,0,0,0,179.874359,6.124878049,0,0,1,2
06-0000013471,0,0,1,0,0,0,0,482.2591453,2.255609756,0,1,3,0
06-0000012127,1,1,1,0.467123288,0,3,0,1069.672308,2.387886179,1,2,10,0
06-0000026762,0,0,0,0,0,0,0,1404.49094,9.846178862,2,2,13,0
06-0000048419,0,0,1,0,0,0,0,1404.49094,3.750406504,2,2,16,0
06-0000033798,0,0,1,0.119178082,0,0,0,482.2591453,5.110569106,1,1,3,0
06-0000025504,0,0,0,1.520547945,0,0,0,179.874359,4.593658537,1,0,2,5
06-0000013439,0,0,0,0.835616438,0,0,0,482.2591453,3.734146342,0,0,0,0
06-0000013467,1,1,1,0.201369863,1,9,0,482.2591453,5.63902439,3,1,4,0
06-0000033799,0,0,1,0.119178082,0,0,0,482.2591453,5.110569106,1,1,3,0
06-0000003612,1,1,1,0.201369863,1,2,0,482.2591453,5.63902439,3,1,5,0
06-0000025534,1,0,1,0,0,0,0,1404.49094,10.91065944,1,2,20,0
06-0000037816,1,0,1,0,0,0,0,361.694359,1.024878049,0,1,4,0
06-0000037815,1,1,1,0,0,4,0,361.694359,1.024878049,0,1,4,0
06-0000003357,1,1,1,0,0,6,0,1404.49094,10.91065944,1,2,24,0
06-0000012068,1,1,1,0.352054795,1,3,0,1053.368205,7.456097561,2,0,2,4
06-0000020419,1,1,1,0.297260274,1,1,0,1053.368205,7.456097561,2,0,2,4
06-0000013889,1,0,1,0,0,0,0,361.694359,1.024878049,0,1,3,0
06-0000040293,1,1,1,0.035616438,0,2,0,179.874359,3.490081301,7,0,1,0
06-0000012420,1,0,1,0.102739726,0,0,0,179.874359,3.490081301,7,0,1,0
06-0000050677,0,0,1,2.693150685,0,0,0,482.2591453,5.110569106,3,0,1,0
06-0000048424,0,0,1,0,0,0,0,1404.49094,8.728527552,0,2,7,0
06-0000014173,1,1,1,0.042465753,0,8,0,241.1295727,2.166666667,3,2,10,0
06-0000040294,1,0,1,0.035616438,0,0,0,179.874359,3.490081301,7,0,1,0
06-0000012419,1,1,1,0.035616438,0,4,0,179.874359,3.490081301,7,0,1,0
06-0000025497,0,0,1,2.693150685,0,0,0,482.2591453,5.110569106,3,0,0,0
06-0000013891,1,1,1,0,0,8,0,361.694359,1.024878049,0,1,4,0
06-0000026759,1,1,1,0.042465753,0,4,0,241.1295727,2.166666667,3,2,9,0
06-0000050944,1,1,1,0.042465753,0,4,0,241.1295727,2.166666667,3,2,10,0
06-0000029353,1,1,1,7.620547945,0,6,0,1404.49094,6.13398374,4,2,20,0
06-0000013138,1,1,1,7.620547945,0,2,0,1404.49094,6.13398374,4,2,23,0
06-0000013890,1,0,1,0,0,0,0,361.694359,1.024878049,0,1,4,0
06-0000037811,1,0,1,0,0,0,0,361.694359,1.024878049,0,1,4,0
06-0000014172,1,1,1,0.042465753,0,4,0,241.1295727,2.166666667,3,2,9,0
06-0000013137,1,1,1,7.620547945,0,2,0,1404.49094,6.13398374,4,2,24,3
06-0000013136,1,1,1,7.620547945,0,3,0,1404.49094,7.667479675,3,2,23,0
06-0000014174,1,1,1,0.047945205,1,10,0,241.1295727,1.733333333,0,0,0,0
06-0000030579,1,0,1,0.109589041,0,0,0,482.2591453,6.388211382,3,0,1,0
06-0000012865,1,0,1,0.190410959,0,0,0,482.2591453,6.388211382,3,0,2,0
06-0000048422,0,0,1,0,0,0,0,1053.368205,8.728527552,0,1,6,0
06-0000013505,1,1,1,0.261643836,1,21,0,1426.229744,7.428658537,3,1,4,1
06-0000041532,1,0,1,0.080821918,1,0,0,241.1295727,1.733333333,0,0,0,0
06-0000015705,1,1,1,0,1,10,0,482.2591453,1.202113821,0,1,4,0
06-0000013476,1,1,1,0.265753425,0,6,0,1426.229744,5.969715447,1,2,16,0
06-0000038345,1,1,1,0.265753425,0,3,0,1426.229744,5.969715447,1,2,16,0
06-0000014171,1,1,1,0,0,4,0,241.1295727,2.588211382,2,2,16,3
06-0000037835,1,1,1,0,0,8,0,241.1295727,2.588211382,3,2,16,4
06-0000039075,1,1,1,0,0,5,0,241.1295727,2.588211382,3,2,16,4
06-0000026104,1,1,1,0.076712329,0,9,0,482.2591453,5.124390244,2,1,4,0
06-0000034375,1,1,1,0,0,4,0,241.1295727,2.070569106,1,2,16,6
06-0000012866,1,0,1,2.693150685,0,0,0,482.2591453,2.003523035,2,1,3,0
06-0000012863,1,1,1,2.654794521,1,2,0,482.2591453,1.202113821,1,0,2,0
06-0000037238,0,0,1,2.865753425,0,0,0,1053.368205,6.13398374,2,0,2,4
06-0000014498,0,0,0,0.032876712,1,0,0,361.694359,2.547642276,1,0,1,0
06-0000012421,0,0,1,0.067123288,0,0,0,351.122735,4.663414634,7,1,4,0
06-0000012864,1,1,1,2.623287671,1,10,0,482.2591453,1.602818428,1,0,2,0
06-0000013475,0,0,0,0.443835616,0,0,0,1426.229744,3.581829268,0,1,3,1
06-0000031630,0,0,1,0.109589041,0,0,0,351.122735,4.663414634,0,1,4,0
06-0000012069,0,0,1,0.376712329,1,0,0,1053.368205,7.553658537,2,0,0,8
06-0000026103,1,0,1,0,0,0,0,482.2591453,4.099512195,2,1,4,0
06-0000045337,0,0,1,0.152054795,0,0,0,482.2591453,2.003523035,2,1,4,0
06-0000028081,0,0,1,0.216438356,1,0,0,1053.368205,7.553658537,2,0,0,7
06-0000040311,0,0,0,2.865753425,0,0,0,1053.368205,6.13398374,2,0,1,1
06-0000014170,1,1,1,0,0,7,0,241.1295727,2.070569106,3,2,17,6
06-0000032154,1,1,1,0.236986301,0,6,0,1053.368205,10.03125565,1,2,21,0
06-0000052827,0,0,1,0.187671233,1,0,0,1426.229744,5.942926829,2,2,7,0
06-0000047803,0,0,1,2.654794521,0,0,0,482.2591453,2.003523035,2,1,4,0
06-0000037837,1,1,1,0,0,3,0,120.5647863,6.137235772,1,2,17,5
06-0000052828,0,0,1,0.153424658,1,0,0,1426.229744,5.942926829,2,2,7,0
06-0000050946,0,0,1,0,0,0,0,241.1295727,5.620162602,5,1,4,6
06-0000037836,1,1,1,0,0,4,0,241.1295727,6.137235772,1,2,14,5
06-0000014497,1,1,1,0,0,32,0,361.694359,3.184552846,1,2,7,2
06-0000037237,0,0,0,2.865753425,0,0,0,1053.368205,4.600487805,0,1,6,1
06-0000014496,1,1,1,0,0,6,0,361.694359,3.184552846,1,2,8,2
06-0000034362,1,0,1,0.236986301,1,0,0,1053.368205,9.813098464,2,2,16,0
06-0000012071,1,1,1,7.531506849,1,3,0,1053.368205,6.13398374,1,1,6,3
06-0000037236,0,0,0,2.638356164,0,0,0,1053.368205,4.600487805,0,1,4,1
06-0000047804,1,0,1,2.573972603,1,0,0,361.694359,1.602818428,2,2,7,0
