crosswalk_id,bus,on_bus,off_bus,distance
06-0000012637,우장산동주민센터,58.14634146341464,124.29268292682929,145.57143496267804
06-0000013173,등촌강변샤르망오피스텔,15.268292682926829,77.6829268292683,145.6961584552252
06-0000025952,본동사무소,12.21951219512195,76.08536585365853,145.7937519337576
06-0000032134,KBS스포츠월드,115.60975609756098,172.39837398373984,145.81342697796214
06-0000014046,롯데몰.김포공항역,77.10487804878049,149.7658536585366,145.87175929937453
06-0000052719,신방화역4번출구.마곡중학교,16.115183246073297,61.261780104712045,146.10392142881452
06-0000042141,영인운수.차고지,1.4634146341463414,0.073170731707317,146.21745203404618
06-0000012864,가양동CJ주식회사,27.943089430894307,32.16260162601626,146.55261992179135
06-0000050024,KBS스포츠월드,115.60975609756098,172.39837398373984,146.9324707821036
06-0000046873,우장산투웨니퍼스트오피스텔,74.63414634146342,138.7560975609756,146.96398140996564
06-0000052718,신방화역4번출구.마곡중학교,16.115183246073297,61.261780104712045,147.03131367104194
06-0000015710,양동중학교,10.329268292682928,95.3780487804878,147.09243087956918
06-0000045849,마곡엠밸리4단지,38.09756097560975,137.609756097561,147.38012276340095
06-0000013684,화원중학교,78.4390243902439,67.5609756097561,147.42916437653793
06-0000045291,서남물재생센터,7.59349593495935,13.926829268292684,147.7847594263112
06-0000013093,가양도시개발9단지.세현고등학교,62.15243902439025,74.84756097560975,147.93079135124012
06-0000027851,방화4단지,0.2926829268292683,33.34146341463415,147.98547553362275
06-0000041530,수명산파크1단지,34.24390243902439,358.3170731707317,148.17845178500036
06-0000011607,신방화사거리,33.53658536585366,91.4390243902439,148.22827192699694
06-0000027441,동아1.2차아파트,160.02439024390245,231.90243902439025,148.27375117461204
06-0000035205,가양도시개발9단지.세현고등학교,62.15243902439025,74.84756097560975,148.36253464336139
06-0000052455,관음삼성.보람더하임아파트,65.36585365853658,39.170731707317074,148.63949575100798
06-0000032140,하이웨이주유소,71.4390243902439,98.4390243902439,148.89698222407415
06-0000048405,양동중학교,10.329268292682928,95.3780487804878,148.93776062898104
06-0000024408,우장산월드메르디앙아파트,162.46341463414635,132.7560975609756,149.09023950273274
06-0000035204,가양도시개발9단지.세현고등학교,62.15243902439025,74.84756097560975,149.16608996975995
06-0000011873,염창역2번출구,21.682926829268293,629.780487804878,149.18725075031662
06-0000049524,마곡역교차로,46.38036809815951,56.48466257668712,149.18984295006706
06-0000045866,서남물재생센터,7.59349593495935,13.926829268292684,149.47745254217187
06-0000024410,우장산월드메르디앙아파트,162.46341463414635,132.7560975609756,149.7385458737469
06-0000052770,우장산월드메르디앙아파트,162.46341463414635,132.7560975609756,150.21145126698892
06-0000050676,마곡동로사거리,49.59071729957806,55.063291139240505,150.4274528350524
06-0000000054,방화동도시개발11단지,7.351219512195122,31.39512195121951,150.45084656010388
06-0000014027,서울방화초등학교,5.024390243902439,9.195121951219512,150.8137527273859
06-0000052135,서남물재생센터,7.59349593495935,13.926829268292684,150.9387389686201
06-0000013092,가양도시개발9단지.세현고등학교,62.15243902439025,74.84756097560975,151.00374658094802
06-0000037040,개화산역,12.48780487804878,28.75,151.19253542386954
06-0000045722,LG사이언스파크,55.707317073170735,96.7560975609756,151.36446512255608
06-0000052769,우장산월드메르디앙아파트,162.46341463414635,132.7560975609756,151.47759725490303
06-0000012863,가양동CJ주식회사,27.943089430894307,32.16260162601626,151.7048843726419
06-0000015672,신월동기점,0.0625,1.1875,151.83920434237797
06-0000037794,개화산역,12.48780487804878,28.75,151.844301941665
06-0000049525,마곡역교차로,46.38036809815951,56.48466257668712,152.03149977602675
06-0000013552,화곡중고등학교,55.95316804407714,75.96694214876032,152.10754954307487
06-0000039373,화곡중고등학교,55.95316804407714,75.96694214876032,152.2443589721119
06-0000028772,수명산파크5단지아파트,363.6829268292683,22.82926829268293,152.2719678696014
06-0000045859,마곡엠밸리4단지,38.09756097560975,137.609756097561,152.38185369801025
